Description,VoteCount,Rating,Year,Title,Genres,Season_Count,Episode_Count,Production_Companies,Actors
"Years after ruthless businessmen kill his father and order the death of his twin brother, a modest fisherman adopts a new persona to exact revenge.",865.0,7.2,2016,Kis Günesi,"Documentary, Back to top",1 seasons,1,Tv 10,"Burcu Gerçeker, Burcu Gerçeker"
,0.0,,2019–2020,Kisa Bir Ara,"Documentary, Back to top",1 seasons,Unknown,TRT Belgesel,"Mehmet Atay, Mehmet Atay"
"A program for moviegoers, featuring award-winning short films.",0.0,,2022–,Kisa Film Kusagi,"Comedy, Back to top",1 seasons,Unknown,Meta Film,"Halit Akçatepe, Ebru Ayyildiz, Tuncay Beyazit, Halit Akçatepe, Ebru Ayyildiz, Tuncay Beyazit"
"The series revolves around Dogan, a beloved neighborhood lawyer, and his beautiful neighbor Melike, who, despite having known and loved each other for a long time, have never been able to get together as a couple. The story begins with Melike's dramatic entrance at Dogan's wedding on a motorcycle, followed by her kidnapping of the groom.",164.0,6.4,2023,Kismet,"Action, Drama, Romance, Back to top",1 seasons,8,Sinegraf,"Tansel Öngel, Melike Güner, Nur Erkul, Tansel Öngel, Melike Güner, Nur Erkul"
,0.0,,2019,Kismet Sov,"Action, Drama, Romance, Back to top",1 seasons,27,,"Keremcem, Özgü Kaya, Burak Serdar Sanal, Keremcem, Özgü Kaya, Burak Serdar Sanal"
,48.0,5.8,2015–2017,Kismetse Olur,Back to top,1 seasons,Unknown,Esra Film,"Ramazan Akboga, Nesime Alis, Mürüvet Arik, Ramazan Akboga, Nesime Alis, Mürüvet Arik"
,68.0,4.7,2022–,Kismetse Olur: Askin Gücü,"Drama, Back to top",1 seasons,Unknown,,"Nese Baykent, Gökhan Bolcan, Zerrin Epikmen, Nese Baykent, Gökhan Bolcan, Zerrin Epikmen"
,0.0,,2015,Kissali Harikalar Kumpanyasi,"Drama, Back to top",2 seasons,90,Yagmur Ajans,"Emrah, Özlem Conker, Mustafa Avkiran, Emrah, Özlem Conker, Mustafa Avkiran"
"A young girl who falls in love with her lover's father. Is this love a longing for her father, who died mysteriously?",0.0,,1999,Kivilcim,"Comedy, Romance, Back to top",2 seasons,69,Ortaks Yapim,"Elçin Sangu, Baris Arduç, Salih Bademci, Elçin Sangu, Baris Arduç, Salih Bademci"
"Cities change, streets never.",253.0,5.5,2022–2023,Kiyma,"Comedy, Romance, Back to top",2 seasons,59,Süreç Film,"Asli Zengin, Özge Gürel, Serkan Çayoglu, Nilperi Sahinkaya, Asli Zengin, Özge Gürel, Serkan Çayoglu, Nilperi Sahinkaya, Asli Zengin"
"A mother and daughter flee to escape from a forced marriage in a restrictive sect. The mother works for a progressive psychiatrist whose daughter's identity causes turmoil, despite their growing bond.",102.0,7.7,2023–,Kizil Goncalar,"Crime, Drama, Romance, Back to top",3 seasons,113,NTC Medya,"Ipek Karapinar, Özgür Çevik, Biran Damla Yilmaz, Ipek Karapinar, Özgür Çevik, Biran Damla Yilmaz"
Turkey's intelligence war on the number of issues that the country's national presence and sworn to protect the interests of a handful of people exiting the road from the story is taken subject selfless life of this hero.,143.0,5.7,2014,Kizilelma,"Drama, Back to top",1 seasons,2,Ilke Film,"Kadir Inanir, Yesim Büber, Burak Hakki, Kadir Inanir, Yesim Büber, Burak Hakki"
"When Aksemseddin accepts the tutorship of Sehzade Mehmed, the epic story of both Mehmed and Aksemseddin will begin.",334.0,7.6,2023–,Kizilelma: Bir Fetih Öyküsü,"Romance, Back to top",2 years,100,Nöbetçi Yapim,"Meltem Akçöl, Murat Onuk, Burcu Almeman, Meltem Akçöl, Murat Onuk, Burcu Almeman"
"Eight-year-old Öykü is an exceptional little girl who, unlike her peers, is very empathetic and perceptive of the world around her. When her aunt, who has been her caregiver since birth, abandons her, Öykü will have to find her father, Demir. Unfortunately, he's an irresponsible adult and a swindler who grew up in an orphanage.",1100.0,6.7,2018–2019,Kizim,"Documentary, News, Back to top",1 seasons,1,,"Ramazan Öztürk, Sezen Turnali, Hakan Avci, Ramazan Öztürk, Sezen Turnali, Hakan Avci"
"One of the most important businessmen in Turkey, Zafer Demiray has everything that he could ever have imagined: a successful company and a big happy family.. One night, after his birthday celebration, Zafer drops his daughter Zeynep and her three cousins to a nightclub.",1400.0,4.1,2010–2011,Kizim Nerede,"Drama, Back to top",1 seasons,7,"Limon Film, Nar Film","Ekin Mert Daymaz, Fikret Kuskan, Emel Çölgeçen, Ekin Mert Daymaz, Fikret Kuskan, Emel Çölgeçen"
The good and bad days of female students living in the girls' dormitory.,164.0,4.2,2006,Kizlar Yurdu,"Comedy, Drama, Back to top",1 seasons,13,,"Ayça Bingöl, Ceren Moray, Cansu Tosun, Ayça Bingöl, Ceren Moray, Cansu Tosun"
,10.0,4.8,2013–,Kizlar ve Anneleri,"Comedy, Reality-TV, Back to top",1 seasons,4,,"Orkun Isitmak, Oguz Benlioglu, Elanur Pat, Orkun Isitmak, Oguz Benlioglu, Elanur Pat"
The life story of a father and his five daughters.,94.0,6.3,2017–2018,Kizlarim Için,"Drama, Back to top",2 seasons,2,Turkish Radio & Television (TRT),"Cüneyt Arkin, Oktay Kaynarca, Nihat Altinkaya, Cüneyt Arkin, Oktay Kaynarca, Nihat Altinkaya"
,55.0,7.0,2013–2014,Kizma Kazan,"Action, Drama, Back to top",1 seasons,8,10. Ev,"Görkem Sevindik, Sümeyye Aydogan, Nilay Deniz, Görkem Sevindik, Sümeyye Aydogan, Nilay Deniz"
,0.0,,2017–2018,Klasikler,"Drama, Back to top",1 seasons,19,,"Yeliz Baslangic, Tarkan Koç, Emre Emin Aravi, Yeliz Baslangic, Tarkan Koç, Emre Emin Aravi"
"Bayram and Kerem are two close friends who became asocial as they could not have had much dialogue with people since their early ages and spend all their time on the computer. They used computers to express what they could not say to the hundreds and make money on it. Cousin Volki, Bayram's cousin, has returned from America.",318.0,7.4,2017,Klavye Delikanlilari,"Drama, Back to top",2 seasons,61,"OG Medya, OGM Pictures","Gülseren Budayicioglu, Binnur Kaya, Gulcin Kultur Sahin, Baran Can Eraslan, Gülseren Budayicioglu, Binnur Kaya, Gulcin Kultur Sahin, Baran Can Eraslan, Gülseren Budayicioglu"
,0.0,,2013,Kobra Show,"Drama, Back to top",1 seasons,18,Endemol Shine Turkey,"Sükrü Özyildiz, Asli Enver, Basak Parlak, Sükrü Özyildiz, Asli Enver, Basak Parlak"
,78.0,5.9,2009–2016,Koca Kafalar Baba Haber Bulteni,"Talk-Show, Back to top",5 seasons,60,Goya Entertainment,"Derya Beserler, Birol Namoglu, Derya Beserler, Birol Namoglu"
,70.0,5.5,2018,Koca Koca Yalanlar,"News, Back to top",1 seasons,Unknown,TRT 2,"Mehmet Ali Karga, Mehmet Ali Karga"
"Hulusi's life is ruined by an accident. Hulusi, who has survived to death, is determined to make up for the mistakes he has made in the past. Hulusi struggles to find three women in the past who hurt their heart. He gets help from Demir for this. But things get mixed up when Hulusi learns that there are three children from these three women.",46.0,4.9,2018,Kocaman Ailem,"Comedy, Romance, Back to top",1 seasons,10,,"Cem Gelinoglu, Özge Özacar, Cenan Adigüzel, Cem Gelinoglu, Özge Özacar, Cenan Adigüzel"
"Loving husband to the family fold. One of the children disappeared 25 years ago, traditional, a large Turkish family. If two very different families and neighbors from each other Tariq actually lost that child turns out to be what happens? Of course, that would be a complete farce.",175.0,4.2,2014–2015,Kocamin Ailesi,"Comedy, Back to top",1 seasons,Unknown,Alt Production House,"Deniz Alnitemiz, Ali Congun, Deniz Goktas, Deniz Alnitemiz, Ali Congun, Deniz Goktas"
The common curiosity of children living in the same neighborhood is technology. There are both those who help the children who come together to design drones and the bad guys who try to prevent them... The series will bring the exciting stories of technology-savvy children to the screen.,32.0,2.8,2023–,Kod Adi Kirlangic,"Reality-TV, Romance, Back to top",1 seasons,5,,
,44.0,2.3,2021,Kolej Rüyası: Lise Günlükleri,"Reality-TV, Back to top",2 years,19,,"Öykü Serter, Öykü Serter"
,0.0,,2018,Kolej Sinifi,Back to top,1 seasons,Unknown,,"Furkan Karaderi, Furkan Karaderi"
"Different collections, stories, places and memories. The program examines the backgrounds of the collections.",0.0,,2019–2020,Koleksiyoner,"Drama, Back to top",1 seasons,Unknown,Eylül Tv,"Ayda Aksel, Cevdet Aricilar, Berrin Arisoy, Ayda Aksel, Cevdet Aricilar, Berrin Arisoy"
"a story that traces a book in which deep state secrets are kept hidden, conspiracy theories, assassinations, provocations, and unsolved murders.",109.0,5.7,2008–2011,Kollama,"Action, Crime, Drama, Back to top",3 seasons,21,Sifir Bir Yapim,"Irfan Balli, Salih Inci, Cengiz Yurdutek, Irfan Balli, Salih Inci, Cengiz Yurdutek"
"The characters in the program director, actor, pianist and occasional consists of guest players.",4000.0,8.0,2007–2011,Komedi Dükkani,"Family, Back to top",1 seasons,Unknown,Halk Film,"Cengiz Ayvazoglu, Mürsit Bag, Evrim Bagci, Cengiz Ayvazoglu, Mürsit Bag, Evrim Bagci"
,24.0,4.1,2008,Komedi Türk,Back to top,1 seasons,2,Gold Film,"Özgü Namal, Özcan Deniz, Mert Yazicioglu, Özgü Namal, Özcan Deniz, Mert Yazicioglu"
,0.0,,2007,Komiser Nevzat,"Drama, Romance, Back to top",2 seasons,42,Gold Film,"Baris Kilic, Evrim Alasya, Sila Turkoglu, Baris Kilic, Evrim Alasya, Sila Turkoglu"
,0.0,,2011–2014,Komplo Teorisi,"Action, Back to top",1 seasons,1,Sinegraf,"Furkan Palali, Pelin Akil, Zeynep Eronat, Furkan Palali, Pelin Akil, Zeynep Eronat"
,0.0,,2017,Komsular,"Drama, Back to top",2 years,35,Medyapim,"Bugra Gülsoy, Beren Gokyildiz, Leyla Lydia Tugutlu, Bugra Gülsoy, Beren Gokyildiz, Leyla Lydia Tugutlu"
"Serhat and Mertkan, who live in the container of a car junkyard, are very good friends. They follow the trends of social media and try to break records by including celebrities and phenomena in their video content. They attract the attention of the followers with their jokes and funny situations over time.",15.0,5.8,2022,Konteynir Brothers: Hurdalik,"Action, Crime, Drama, Back to top",2 seasons,26,"Medyavizyon, ATV","Burak Hakki, Ece Uslu, Hüseyin Avni Danyal, Burak Hakki, Ece Uslu, Hüseyin Avni Danyal"
"This chat is very different from what you know. Every person has a different story, every story has a different side. Hasan Can Kaya first chooses the speakers and then the fun increases with interesting questions.",4500.0,6.4,2021–,Konusanlar,"Comedy, Drama, Family, Back to top",1 seasons,Unknown,,"Üstün Asutay, Sonay Aydin, Fatma Belgen, Üstün Asutay, Sonay Aydin, Fatma Belgen"
,0.0,,2021–2022,Konusmamiz Lazim,"Comedy, Drama, Family, Back to top",1 seasons,22,Altioklar Film,"Melike Güner, Engin Altan Düzyatan, Pelinsu Pir, Melike Güner, Engin Altan Düzyatan, Pelinsu Pir"
,23.0,6.1,2007,Korkusuzlar,"Game-Show, Back to top",2 years,2,,"Ümit Kantarcilar, Burak Serdar Sanal, Mert Palavaroglu, Ümit Kantarcilar, Burak Serdar Sanal, Mert Palavaroglu"
,65.0,5.7,2001,Korsan TV,"Drama, Back to top",2 years,13,Süreç Film,"Tuvana Türkay, Ahsen Eroglu, Fikret Kuskan, Tuvana Türkay, Ahsen Eroglu, Fikret Kuskan"
"The paths of Alper, the son of a socialite family, and Ferhan, who is of Pakistani descent from England, cross in the Turkology department of a university in Thorvingen. Life turns into a journey towards the values that are foreign to them",543.0,3.2,2023–,Koyu Beyaz,"Game-Show, Back to top",1 seasons,14,"DCC Film, Dirty Cheap Creative","Öner Erkan, Caner Özyurtlu, Ayse Melike Çerçi, Öner Erkan, Caner Özyurtlu, Ayse Melike Çerçi"
"Since Cemil has a rare blood type and has to pay for his sibling's treatment costs, he is a donor and sells his blood. Cemil's life, who accidentally crosses his path with Ümit, will be turned upside down after this encounter.",0.0,,2012–2013,Koyu Kirmizi,"Documentary, Back to top",1 seasons,Unknown,,"Ibrahim Altay, Aysegül Büsra Çalik, Tolga Üstün, Ibrahim Altay, Aysegül Büsra Çalik, Tolga Üstün"
Students at a private high school are trained by a basketball coach not only for sports but also for life.,868.0,6.9,2002–2003,Koçum Benim,"Comedy, Back to top",1 seasons,8,Süreç Film,"Rasim Öztekin, Vildan Atasever, Kaan Yildirim, Rasim Öztekin, Vildan Atasever, Kaan Yildirim"
A sarcastic cartoon series with lots of funny stories which can certainly attract the children and adults in the same time.,449.0,6.2,2016–,Kral Sakir,"Music, Talk-Show, Back to top",1 seasons,Unknown,,"Kobra Murat, Kobra Murat"
,0.0,,2008,Kral ve Ben,"Comedy, Back to top",1 seasons,Unknown,Grafi2000 Production,"Vural Yasaroglu, Vural Yasaroglu"
,95.0,7.2,2009–2012,Kral Çiplak,"Comedy, Back to top",1 seasons,Unknown,Grafi2000 Production,
"Ates, one of the most famous basketball players in the country, and his wife Deniz are happily married. As Ates's name gets involved in a big scandal, their lives are turned upside down.",325.0,5.2,2023,Kraliçe,"Comedy, Back to top",1 seasons,12,Limon Film,"Hakan Yilmaz, Evrim Alasya, Selen Uçer, Hakan Yilmaz, Evrim Alasya, Selen Uçer"
"Follow the life of s young, girl who has the look of a clumsy, yet light hearted girl and an elegant, beautiful model due to a magical cream given to her by a old man. Will she finally learn what side she'll choose?",143.0,3.4,2012–2013,Krem,"Comedy, Drama, Family, Back to top",2 seasons,21,Mia Yapim,"Gökhan Alkan, Aysenil Samlioglu, Erman Okay, Gökhan Alkan, Aysenil Samlioglu, Erman Okay"
,12.0,1.5,2019–2020,Kuaförüm Sensin,"Action, Adventure, Back to top",1 seasons,8,Zera Medya,"Ali Kayra Gürel, Elif Kurtuaran, Göktug Yildirim, Ali Kayra Gürel, Elif Kurtuaran, Göktug Yildirim"
"The life of Muslim ruler Saladin and he conquered Jerusalem. Furthermore, it focuses on his battles against the Crusaders and his goal to unite the Muslim territories of Syria, northern Mesopotamia, Palestine and Egypt under his rule.",897.0,5.0,2023–,Kudüs Fatihi Selahaddin Eyyubi,"Comedy, Drama, Back to top",1 seasons,1,2506 Sinema,"Melek Tanker, Ceylan Yalin, Özüm Çakir, Melek Tanker, Ceylan Yalin, Özüm Çakir"
,0.0,,2018,Kudüs'ten Türkiye'ye Ilahilerimiz,"Documentary, Back to top",1 seasons,6,"Marmara Film, TRT 2",
The adventures of a playful and hyperactive monkey Kukuli and friends Tinky and Minky.,30.0,5.3,2013–2019,Kukuli,"Action, Crime, Drama, Back to top",4 seasons,133,Samanyolu TV (STV),"Mehmet Özgür, Gökçe Akyildiz, Orhan Biyikli, Mehmet Özgür, Gökçe Akyildiz, Orhan Biyikli"
,0.0,,2021–,Kukuli Spanish,"Comedy, Back to top",3 seasons,43,"BKM, Besiktas Kültür Merkezi (BKM)","Tolga Çevik, Sarp Bozkurt, Firat Parlak, Tolga Çevik, Sarp Bozkurt, Firat Parlak"
,0.0,,2014,Kulaktan Kulaga,"Comedy, Back to top",1 seasons,Unknown,,"Ferdi Akarnur, Icmal Aktuna, Anastasia Beloborodova, Ferdi Akarnur, Icmal Aktuna, Anastasia Beloborodova"
"In cosmopolitan 1950s Istanbul, a mother with a troubled past works at a nightclub to reconnect with and help the rebellious daughter she couldn't raise.",11000.0,7.8,2021–2023,Kulüp,"Crime, Back to top",1 seasons,1,FM Yapim,"Ahu Yagtu, Altan Erkekli, Pamir Pekin, Ahu Yagtu, Altan Erkekli, Pamir Pekin"
,0.0,,2010,Kum Saati,"Documentary, Back to top",1 seasons,1,Tvnet,"Cem Küçük, Mustafa Oral, Cem Küçük, Mustafa Oral"
,0.0,,2000,Kumar,"Comedy, Drama, Back to top",1 seasons,110,No Dokuz,"Gizem Altunay, Mustafa Baris Koçkar, Arda Esen, Gizem Altunay, Mustafa Baris Koçkar, Arda Esen"
,0.0,,2014,Kumdan Kissalar,"Comedy, Back to top",1 seasons,26,Tüplü Televizyon,"Serhat Osman Karagöz, Mertkan Erkan, Eren Kurtel, Serhat Osman Karagöz, Mertkan Erkan, Eren Kurtel"
,22.0,4.5,2002,Kumsaldaki Izler,"Comedy, Talk-Show, Back to top",3 seasons,126,Hap Yapim,"Hasan Can Kaya, Ezgi Mola, Hülya Avsar, Hasan Can Kaya, Ezgi Mola, Hülya Avsar"
,8.0,6.4,2017,Kur'an-i Kerim'i Güzel Okuma Yarismasi,Back to top,1 seasons,Unknown,Gain,"Cinar Oskay, Cinar Oskay"
A woman and a man in the 1970s; they will touch the destiny of a country with love and labor.,356.0,6.4,2019,Kursun,"Action, Back to top",1 seasons,Unknown,Avrupa Film,"Ismail Yk, Volkan Adiyaman, Istemi Betil, Ismail Yk, Volkan Adiyaman, Istemi Betil"
,22.0,5.2,2011–2012,Kursun Bilal,"Comedy, Back to top",1 seasons,Unknown,Besiktas Kültür Merkezi (BKM),"Ata Demirer, Ata Demirer, Ata Demirer, Ata Demirer, Ata Demirer"
"Halil, who started smuggling in order to change his sister's fate in the Aegean in the 1900s, will turn from a simple peasant trying to earn his living to a warrior who will become the lover of the people with his fair personality.",151.0,6.2,2003–2005,Kursun Yarasi,"Drama, Back to top",1 seasons,8,RGB Medya,"Atakan Hosgören, Rami Narin, Atabik Mohsin, Atakan Hosgören, Rami Narin, Atabik Mohsin"
"Adapted from the same title by Kemal Tahir is about the assassination attempt of Mustafa Kemal Ataturk in the first years of the Republic, the turbulent contests and calculations of that period.",62.0,6.7,2012,Kurt Kanunu,"Drama, Back to top",1 seasons,Unknown,TMC Film,"Ipek Bilgin, Ozan Güven, Engin Hepileri, Ipek Bilgin, Ozan Güven, Engin Hepileri"
"The love story of Kurt Seyit, a Crimean Tatar army major, and Sura, a rich Russian woman during the Russian Revolution and in the last days of the Ottoman Empire.",4100.0,7.3,2014,Kurt Seyit ve Sura,"Comedy, Sport, Back to top",2 years,12,,"Tarik Akan, Ebru Cündübeyoglu, Sevil Üstekin, Tarik Akan, Ebru Cündübeyoglu, Sevil Üstekin"
Follows a Turkish agent working under the assumed identity of Polat Alemdar attempting to infiltrate the Turkish mafia.,20000.0,7.9,2003–2005,Kurtlar Vadisi,"Animation, Adventure, Comedy, Back to top",3 seasons,128,Grafi2000 Production,"Mustafa Oral, Atilla Sendil, Levent Ünsal, Mustafa Oral, Atilla Sendil, Levent Ünsal"
"Valley of the Wolves, the legendary action drama, centers around Polat Alemdar and follows his journey to serve his country by trying to uncover the truth and defeating the secret enemies aka the controllers of the global power.",9100.0,6.2,2007–2016,Kurtlar Vadisi: Pusu,"Talk-Show, Back to top",1 seasons,1,,"Ertan Özyigit, Sinan Meydan, Ertan Özyigit, Sinan Meydan"
"Polat Alemdar and his friends continue to struggle, in the last two seasons against mafia, but in this season against the terrorists organizations, in a particular PKK.",2600.0,6.2,2007,Kurtlar Vadisi: Terör,"Talk-Show, Back to top",3 years,23,,"Okan Bayülgen, Reyhan Tüysüz, Murat Özari, Okan Bayülgen, Reyhan Tüysüz, Murat Özari"
"The series will focus on the life of Osman Bey, the son of Ertugrul Gazi and the founder of the Ottoman Empire.",11000.0,7.6,2019–,Kuruluş: Osman,"Drama, Back to top",1 seasons,11,Mednova,"Ava DuVernay, Burcu Özberk, Gökhan Alkan, Selin Sekerci, Ava DuVernay, Burcu Özberk, Gökhan Alkan, Selin Sekerci, Ava DuVernay"
,0.0,,2022,Kurye,"Comedy, Drama, Fantasy, Back to top",2 years,24,"Bando TV, GroupM Entertainment Turkey, Bando TV","Duygu Yetis, Kenan Ece, Ebru Akel, Duygu Yetis, Kenan Ece, Ebru Akel"
"It all started at a wedding in the Black Sea. Fidan, who performs a ritual to see the man she is destined for in her dream, finds Yunus in front of her.",23.0,4.9,2006,Kus Dili,"Reality-TV, Back to top",1 seasons,1,,"Dilek Kaya, Gözde Kansu, Tugba Özay, Dilek Kaya, Gözde Kansu, Tugba Özay"
The perspective to life of the dervishes symbolizing 9 birds in the work titled Mantiku't-Tayr and the Sheikh who symbolizes Hudhud.,46.0,7.1,2020,Kuslarla Yolculuk,"Action, History, Back to top",1 seasons,5,"Akli Film, Ansari Shah Films","Ugur Günes, Dilin Doger, Mehmet Ali Nuroglu, Ugur Günes, Dilin Doger, Mehmet Ali Nuroglu"
,0.0,,2021,Kustof,"Documentary, Music, Back to top",1 seasons,Unknown,Nyg Yapim,"Turgut Özüfler, Basar Dikici, Veysel Matur, Turgut Özüfler, Basar Dikici, Veysel Matur"
"Mona is a young woman who grew up in an orphanage. He works for the Internet newspaper and has been reporting on the cases of house arson in different parts of Istanbul recently. Again, one day when he goes to the news of the fire, they come across the photo reporter Yakup, who came to do the same news.",414.0,6.6,2022,Kusursuz Kiraci,"Animation, Comedy, Family, Back to top",2 years,8,Fauna Production,"Philip Hersh, Yeardley Smith, Erin Fitzgerald, Philip Hersh, Yeardley Smith, Erin Fitzgerald"
,41.0,1.4,2016–2017,Kuyruk,Back to top,1 seasons,Unknown,,
Three cousins coming to Istanbul for university and the bittersweet events that happened while living in the same house.,221.0,6.2,2002,Kuzenlerim,"Music, Back to top",1 seasons,Unknown,,
"Kuzey and Güney are brothers, yet they cannot be more different, both in character and also in their perception, much like their names they are north and south. While the older brother Güney strives in school and is the general good boy next door, his younger brother is nothing like him, he is wild and unpredictable.",11000.0,7.7,2011–2013,Kuzey Güney,"Drama, Back to top",2 seasons,20,O3 Medya,"Zeynep Gunay Tan, Gökçe Bahadir, Baris Arduç, Asude Kalebek, Zeynep Gunay Tan, Gökçe Bahadir, Baris Arduç, Asude Kalebek, Zeynep Gunay Tan"
"When Kuzey became aware of the organization of Necdet, with whom he worked 34 years ago, against the interests of the country, he opposed this order.",91.0,5.4,2007–2008,Kuzey Rüzgari,"Talk-Show, Back to top",1 seasons,Unknown,,"Mustafa Resit Sofuoglu, Murat Çabas, Mustafa Resit Sofuoglu, Murat Çabas"
"Yildiz has loved Kuzey for as long as she has known. She has seen no one but him. Families are also friendly to each other. Kuzey and Yildiz are engaged. But when Kuzey goes to Istanbul to study at university, he forgets all his words and sets sail for new love.",1000.0,6.0,2019–2021,Kuzey Yildizi,Back to top,1 seasons,Unknown,,"Merih Akalin, Tuncay Akça, Dündar Aydinli, Merih Akalin, Tuncay Akça, Dündar Aydinli"
,0.0,,2021,Kuzeyin Oglu Volkan Konak,"Biography, Drama, History, Back to top",1 seasons,Unknown,Turkish Radio & Television (TRT),"Mehmet Atay, Mehmet Atay"
"Kuzgun's family life changes completely as a result of the caliper held against his father, who is a police. Kuzgun will fall into a bondage, pain, anger, and struggle that will last 20 years.",3800.0,7.9,2019,Kuzgun,"Drama, Back to top",1 seasons,Unknown,Yagmur Ajans,"Erdinç Akbas, Ebru Akel, Nazan Ayas, Erdinç Akbas, Ebru Akel, Nazan Ayas"
"Mehmet, a former police chief who rose rapidly in his career, has a talent that no one knows about. As the number of unsolved murder cases increases, Mehmet is offered consultancy with special powers.",61.0,7.1,2023–,Kuzgun: Dipsiz Karanlik,"Game-Show, Back to top",1 seasons,Unknown,"Diyanet Isleri Baskanligi, Turkish Radio & Television (TRT)","Osman Egin, Halil Necipoglu, Mehmet Ali Sari, Osman Egin, Halil Necipoglu, Mehmet Ali Sari"
,22.0,5.3,2012–2013,Kuzucuk,"Crime, Back to top",1 seasons,Unknown,J-Plan,"Leyla Göksun, Koray Kadiraga, Arda Kural, Leyla Göksun, Koray Kadiraga, Arda Kural"
"A young fan maneuvers her way into a seasoned anchor's newsroom but soon confronts the dark side of ambition, envy and the desire to be seen.",5600.0,6.3,2022–,Kuş Uçuşu,"Adventure, Back to top",1 seasons,16,Avsar Film,"Necmettin Çobanoglu, Berdan Mardini, Murat Çobangil, Necmettin Çobanoglu, Berdan Mardini, Murat Çobangil"
,0.0,,2022–,Kökler,"Adventure, Drama, History, Back to top",1 seasons,24,Pana Film,"Ümit Acar, Ali Basar, Pelin Akil, Ümit Acar, Ali Basar, Pelin Akil"
"Known as the ""Dog"", Yilmaz is kidnapped from prison by Resat, who is doing dark business. Resat's intention is to use Yilmaz to eliminate Davut, the number one man of the organization, and replace him.",92.0,4.5,2005,Köpek,"Drama, History, Romance, Back to top",2 seasons,21,Ay Yapim,"Kivanç Tatlitug, Farah Zeynep Abdullah, Demet Özdemir, Kivanç Tatlitug, Farah Zeynep Abdullah, Demet Özdemir"
"Kopru, tells the life of Fahri Yazici, an idealistic governor.",464.0,7.7,2006–2008,Köprü,"Action, Crime, Drama, Back to top",4 seasons,97,"Sinegraf, Pana Film","Necati Sasmaz, Özgü Namal, Gürkan Uygun, Necati Sasmaz, Özgü Namal, Gürkan Uygun"
"Ali Nejat Karasu is a former race-driver and a playboy turned into a businessman. He runs Karas Holdings which is part of a group his father built while making a fortune in ship building. His real passion is still cars and he dreams of launching a new car. While on business trip in Italy with his friend Ayhan, they come across Naz.",1500.0,6.6,2016,Kördügüm,"Action, Crime, Drama, Back to top",10 seasons,300,Pana Film,"Necati Sasmaz, Erhan Ufak, Cahit Kayaoglu, Necati Sasmaz, Erhan Ufak, Cahit Kayaoglu"
,74.0,4.9,2012–2014,Köstebekgiller,"Action, Adventure, Crime, Back to top",1 seasons,2,Pana Film,"Necati Sasmaz, Gürkan Uygun, Sönmez Atasoy, Necati Sasmaz, Gürkan Uygun, Sönmez Atasoy"
The story of a young girl who fled from Adana to Istanbul to live a free and happy life.,122.0,5.1,2012,Kötü Yol,"Action, Adventure, Drama, Back to top",5 seasons,142,"ATV, Bozdag Film, Tekden Film","Mehmet Bozdag, Burak Özçivit, Özge Törer, Yigit Ucan, Mehmet Bozdag, Burak Özçivit, Özge Törer, Yigit Ucan, Mehmet Bozdag"
,0.0,,2020–,Kübra Par'la Acik ve Net,"Comedy, Reality-TV, Talk-Show, Back to top",1 seasons,6,Merbar Yapim,"Hazar Deniz BG, Mazlum Günes, Mazlum Günes, Hazar Deniz BG, Mazlum Günes, Mazlum Günes"
"Ömer Toprak had to leave his hometown because of a wrongful accusation of theft. Years later, as a grown-up man he returns home and meets old friends and family.",31.0,4.8,2009,Kül ve Ates,Back to top,1 seasons,Unknown,Yagmur Ajans,"Baris Aksavas, Müjde Ar, Süreyya Davulcuoglu, Baris Aksavas, Müjde Ar, Süreyya Davulcuoglu"
"The story tells a group of teenagers.Arin,Mete,Toprak,Melina,Elsa,Gece and Dora.",0.0,,2019,Külahta Erimis Dolunay,"Drama, Back to top",2 seasons,16,Ay Yapim,"Birce Akalay, Miray Daner, Ibrahim Celikkol, Birce Akalay, Miray Daner, Ibrahim Celikkol"
Novelist Kürsat Basar hosts his famous guests at a sumptuous dinner table and chats about art and contemporary life.,0.0,,2010,Kürsat Basar'la,"Mystery, Back to top",1 seasons,30,Akli Film,"Erdinç Gülener, Tuncer Salman, Hamdi Alp, Erdinç Gülener, Tuncer Salman, Hamdi Alp"
"A young kid, whose mother and father are constantly fighting, he tries everything in his power to get them together, it is a very funny comedy",458.0,4.0,2014–2015,Küçük Ağa,"Action, Drama, Back to top",1 seasons,Unknown,,"Ahmet Sinan Güzel, Ahmet Sinan Güzel"
The tragic story of a little girl who was raised up as a servant girl in a grumpy woman's home.,101.0,4.3,1999–2001,Küçük Besleme,"Comedy, Drama, Mystery, Back to top",1 seasons,6,MF Yapim,"Dilan Çiçek Deniz, Serkay Tütüncü, Melisa Döngel, Dilan Çiçek Deniz, Serkay Tütüncü, Melisa Döngel"
A 13-year-old girl is forced into marriage to save her brother's life. Because of the customs in the Southeast Anatolia.,188.0,4.4,2013–2015,Küçük Gelin,"Game-Show, Back to top",1 seasons,Unknown,,"Uraz Kaygilaroglu, Uraz Kaygilaroglu"
,62.0,5.8,2011–2012,Küçük Hanımefendi,"Comedy, Family, Back to top",1 seasons,11,Koliba Film,"Sevinç Erbulak, Aysegül Ünsal, Arife Gemlik, Sevinç Erbulak, Aysegül Ünsal, Arife Gemlik"
