Description,VoteCount,Rating,Year,Title,Genres,Season_Count,Episode_Count,Production_Companies,Actors
,17.0,6.4,2018–2020,Adal,"Comedy, Romance, Back to top",2 years,2,Medyapim,"Serenay Aktas, Açelya Özcan, Baris Aytac, Serenay Aktas, Açelya Özcan, Baris Aytac"
Two men who used to be bosom friends have chosen to live in different worlds. Yavuz serves the Law as a police officer while Maraz Ali is the leader of Istanbul's most formidable gang.,1800.0,3.7,2008–2010,Adanali,"Reality-TV, Back to top",1 seasons,Unknown,Mayis Produksiyon,"Acun Ilicali, Acun Ilicali"
,0.0,,2013–2014,Adeland,"Talk-Show, Back to top",3 seasons,3,,"Dogukan Adal, Dogukan Adal"
,47.0,7.0,2004,Adi Ask Olsun,"Action, Crime, Back to top",3 seasons,79,Kuzey Production,"Oktay Kaynarca, Mehmet Akif Alakurt, Cagkan Culha, Oktay Kaynarca, Mehmet Akif Alakurt, Cagkan Culha"
An idealistic young female teacher battles the town's powerful family for her student.,176.0,2.6,2022,Adi Sevgi,"Animation, Back to top",2 years,9,Dreambox,"Harun Can, Damla Babacan, Bulut Buldu, Harun Can, Damla Babacan, Bulut Buldu"
"Deciding to live life now, three dreamers decide to open a cafe with a small white-collar capital. But this adventure will not go as they expected; because none of them have the slightest experience of running a cafe and this job will be a little more difficult than they anticipated.",196.0,5.0,2021,Adim Basi Kafe,"Romance, Back to top",1 seasons,4,,"Mine Tugay, Ayda Aksel, Fikret Kuskan, Mine Tugay, Ayda Aksel, Fikret Kuskan"
"Feriha is a poor doorman's daughter. She lies about her identity when she goes to college. A rich playboy also begins to fall in love with her. Feriha's mother, Zehra, tries to protect her daughter from ruining her life.",4900.0,5.7,2011–2012,Adini Feriha Koydum,"Drama, Sport, Back to top",1 seasons,29,D Productions,"Cem Yigit Uzümoglu, Bülent Düzgünoglu, Baran Bölükbasi, Cem Yigit Uzümoglu, Bülent Düzgünoglu, Baran Bölükbasi"
"Ömer, the eldest son of Bozbeyler, a well-established family of Mardin, grew up in Istanbul and established a life for himself. Omer meets Leyla. Leyla and Omer remain in the middle of revenge.",45.0,4.8,2013–2014,Adini Kalbime Yazdim,"Comedy, Drama, Romance, Back to top",1 seasons,17,Süreç Film,"Kaan Yildirim, Ezgi Eyüboglu, Dilara Aksüyek, Kaan Yildirim, Ezgi Eyüboglu, Dilara Aksüyek"
"In order to appease his ailing sister, a rich businessman marries a working class girl for 6 months in exchange for money. The contract marriage turns into a relationship that will have unintended complications down the line.",408.0,4.5,2016–2018,Adini Sen Koy,"Drama, Back to top",1 seasons,11,Koliba Film,"Yunus Emre Yildirimer, Gizem Günes, Nihan Büyükagaç, Yunus Emre Yildirimer, Gizem Günes, Nihan Büyükagaç"
,0.0,,2017–2019,Adventurous Fins,"Drama, Back to top",1 seasons,14,NTC Medya,"Günes Hayat, Ali Meriç, Zeynep Çamci, Günes Hayat, Ali Meriç, Zeynep Çamci"
Tarik Aksoy who once was a legend in basketball tries to make life work after his wife passing away. His daughters Melis and Zeynep,605.0,6.4,2017,Adı Efsane,"Comedy, Back to top",1 seasons,10,US Yapim,"Zeynep Çamci, Emrah Kaman, Burak Serdar Sanal, Zeynep Çamci, Emrah Kaman, Burak Serdar Sanal"
The story of two strangers (Batu and Kumsal) who arrive in Istanbul from Izmir to look for happiness.,230.0,4.5,2015,Adı Mutluluk,"Action, Crime, Drama, Back to top",2 seasons,27,O3 Medya,"Engin Akyürek, Demet Özdemir, Firat Tanis, Engin Akyürek, Demet Özdemir, Firat Tanis"
"Zehra comes to the world as the daughter of a conservative Turkish family in Frankfurt. The incredible story of Zehra, starting at the home of the poor and enthusiastic family in Germany, and continuing with a rich family of Istanbul with secrets and a terrible crime.",265.0,5.5,2018,Adı: Zehra,"Drama, Romance, Back to top",3 seasons,80,Medyapim,"Çagatay Ulusoy, Deniz Ugur, Yusuf Akgün, Çagatay Ulusoy, Deniz Ugur, Yusuf Akgün"
Farah is a 28-year-old Iranian doctor who works illegally as a cleaner in Istanbul and witnesses a murder committed by the mafia.,3200.0,6.4,2023,Adım Farah,"Drama, Back to top",2 years,24,Focus Film Production,"Ipek Karapinar, Sahra Sas, Emel Göksu, Ipek Karapinar, Sahra Sas, Emel Göksu"
,0.0,,2022–,Afara,"Family, Back to top",1 seasons,Unknown,Imaginite Studios,"Pelin Gülmez, Pelin Gülmez"
"Aziz will be known to have died by everyone, and with another identity, he will be brought next to Ozdemir Bey, the man in charge of the mafia organization who killed his father and wife.",77.0,5.3,2007,Affedilmeyen,"Music, Reality-TV, Back to top",1 seasons,1,Poll Production,"Ugur Aslan, Ugur Aslan"
Zeynep is a young and ambitious woman having a hopeful prospect for the future. She has a happy marriage and a little son whom she loves above all. A traffic accident makes their happy life Topsy-turvy. The teacher Zeynep's husband dies in the accident. And her little son gets crippled.,83.0,6.0,1998,Affet Bizi Hocam,"Action, Drama, Romance, Back to top",1 seasons,3,Sis Yapim,"Polat Bilgin, Berrak Tüzünataç, Burçak Isimer, Polat Bilgin, Berrak Tüzünataç, Burçak Isimer"
